,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,45,No link,10.31 Gbps,8.109260e+10,0,1.0,0.0,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x504D_8876'),0.0,,0,
1,2,62,No link,10.31 Gbps,2.685384e+11,0,1.0,0.0,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xE062_3129'),0.0,,0,
2,3,80,No link,10.31 Gbps,4.529308e+11,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x1_6959_2022'),0.0,,0,
3,4,97,No link,10.31 Gbps,6.454803e+11,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x1_FA98_0ABD'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
4,5,116,No link,10.31 Gbps,8.274608e+11,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x2_8067_4BEC'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
5,6,134,No link,10.31 Gbps,1.005282e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x3_0059_4728'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
6,7,148,No link,10.31 Gbps,1.144276e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x3_6906_82EF'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
7,8,161,No link,10.31 Gbps,1.283570e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x3_CFCC_05A0'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
8,9,175,No link,10.31 Gbps,1.425564e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x4_3A3B_DCD9'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
9,10,188,No link,10.31 Gbps,1.563335e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x4_A046_149E'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
10,11,202,No link,10.31 Gbps,1.705853e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x5_0AE1_1B66'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
11,12,215,No link,10.31 Gbps,1.839803e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x5_6E38_0B82'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
12,13,228,No link,10.31 Gbps,1.981916e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x5_D7F5_AA42'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
13,14,242,No link,10.31 Gbps,2.120239e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x6_3FB7_1391'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
14,15,255,No link,10.31 Gbps,2.262449e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x6_A774_6041'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
15,16,269,No link,10.31 Gbps,2.400593e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x7_1060_E430'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
16,17,282,No link,10.31 Gbps,2.540138e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x7_774D_3B19'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
17,18,296,No link,10.31 Gbps,2.679561e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x7_E186_B1AC'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
18,19,309,No link,10.31 Gbps,2.816667e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x8_45F6_31BD'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
19,20,326,No link,10.31 Gbps,3.002905e+12,0,1.0,13.096524201920625,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x8_D828_821D'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
20,21,343,No link,10.31 Gbps,3.191036e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x9_6297_E627'),3.0,PEAK (48=1628 / 51=1392)  VALEY (49),0,
21,22,362,No link,10.31 Gbps,3.376773e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0x9_F16D_B9B6'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
22,23,381,No link,10.31 Gbps,3.578654e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xA_7EAF_57DC'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
23,24,400,No link,10.31 Gbps,3.772621e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xB_0D9D_045B'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
24,25,415,No link,10.31 Gbps,3.913594e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xB_770D_DCA4'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
25,26,428,No link,10.31 Gbps,4.052309e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xB_DEF8_6B15'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
26,27,442,No link,10.31 Gbps,4.196504e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xC_4A6C_351B'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
27,28,455,No link,10.31 Gbps,4.336033e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xC_B143_B09E'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
28,29,469,No link,10.31 Gbps,4.478028e+12,0,1.0,13.209914608776787,LINK ('No link' R=10.31 Gbps LS='Not locked' EC='0x0' CC='0xD_1CF5_CA1B'),3.0,PEAK (48=3311 / 51=2872)  VALEY (50),0,
