,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,28,53.109 Gbps,53.121 Gbps,4.910854e+11,8.14920e+04,1.64872e-07,0.00000
1,2,50,53.109 Gbps,53.109 Gbps,1.679064e+12,2.75758e+05,1.63604e-07,0.00000
2,3,71,53.109 Gbps,53.121 Gbps,2.793843e+12,4.59797e+05,1.64134e-07,19.82891
3,4,84,53.121 Gbps,53.109 Gbps,3.526688e+12,5.80247e+05,1.64241e-07,20.61849
4,5,98,53.109 Gbps,53.109 Gbps,4.266071e+12,7.00981e+05,1.64130e-07,18.60494
5,6,112,53.109 Gbps,53.109 Gbps,4.971465e+12,8.15886e+05,1.63973e-07,19.76501
6,7,125,53.109 Gbps,53.109 Gbps,5.699964e+12,9.35135e+05,1.63894e-07,20.64314
7,8,139,53.121 Gbps,53.109 Gbps,6.420615e+12,1.05288e+06,1.63792e-07,20.64732
8,9,153,53.121 Gbps,53.121 Gbps,7.161837e+12,1.17315e+06,1.63680e-07,19.11214
9,10,167,53.109 Gbps,53.109 Gbps,7.895150e+12,1.29319e+06,1.63634e-07,19.90714
10,11,181,53.121 Gbps,53.109 Gbps,8.641057e+12,1.41672e+06,1.63785e-07,18.84983
11,12,196,53.121 Gbps,53.121 Gbps,9.433497e+12,1.54662e+06,1.63833e-07,19.88626
12,13,210,53.109 Gbps,53.109 Gbps,1.018798e+13,1.66920e+06,1.63712e-07,20.90540
13,14,225,53.121 Gbps,53.121 Gbps,1.097991e+13,1.79838e+06,1.63684e-07,19.76710
14,15,240,53.121 Gbps,53.109 Gbps,1.180016e+13,1.93223e+06,1.63637e-07,20.24079
15,16,255,53.121 Gbps,53.109 Gbps,1.257289e+13,2.05956e+06,1.63702e-07,20.05960
16,17,269,53.109 Gbps,53.121 Gbps,1.334342e+13,2.18638e+06,1.63773e-07,19.66087
17,18,284,53.121 Gbps,53.121 Gbps,1.413477e+13,2.31696e+06,1.63831e-07,18.76929
18,19,298,53.109 Gbps,53.109 Gbps,1.487899e+13,2.43854e+06,1.63807e-07,18.46104
19,20,313,53.109 Gbps,53.121 Gbps,1.566946e+13,2.56770e+06,1.63788e-07,19.25578
20,21,328,53.109 Gbps,53.109 Gbps,1.645523e+13,2.69697e+06,1.63794e-07,20.11032
21,22,342,53.109 Gbps,53.109 Gbps,1.721969e+13,2.82240e+06,1.63840e-07,19.15499
22,23,357,53.121 Gbps,53.121 Gbps,1.799944e+13,2.94981e+06,1.63816e-07,18.60133
23,24,372,53.109 Gbps,53.109 Gbps,1.880724e+13,3.08267e+06,1.63851e-07,20.06137
24,25,386,53.121 Gbps,53.109 Gbps,1.956552e+13,3.20891e+06,1.63907e-07,19.64715
25,26,401,53.109 Gbps,53.109 Gbps,2.035137e+13,3.33889e+06,1.64014e-07,21.04552
26,27,416,53.109 Gbps,53.121 Gbps,2.111680e+13,3.46513e+06,1.64035e-07,20.48565
27,28,430,53.109 Gbps,53.109 Gbps,2.188501e+13,3.59219e+06,1.64084e-07,18.31650
28,29,445,53.109 Gbps,53.121 Gbps,2.268195e+13,3.72332e+06,1.64098e-07,20.56272
29,30,460,53.109 Gbps,53.109 Gbps,2.347963e+13,3.85463e+06,1.64126e-07,20.21394
30,31,475,53.109 Gbps,53.121 Gbps,2.429816e+13,3.99006e+06,1.64169e-07,20.75643
31,32,491,53.109 Gbps,53.109 Gbps,2.511379e+13,4.12512e+06,1.64185e-07,19.14873
32,33,506,53.109 Gbps,53.109 Gbps,2.592974e+13,4.25888e+06,1.64209e-07,19.47141
33,34,522,53.121 Gbps,53.121 Gbps,2.675466e+13,4.39528e+06,1.64250e-07,19.50688
34,35,537,53.121 Gbps,53.109 Gbps,2.755541e+13,4.52862e+06,1.64304e-07,20.44915
35,36,552,53.109 Gbps,53.121 Gbps,2.836584e+13,4.66217e+06,1.64326e-07,21.60348
36,37,567,53.121 Gbps,53.109 Gbps,2.915639e+13,4.79385e+06,1.64369e-07,21.17717
37,38,582,53.109 Gbps,53.109 Gbps,2.996511e+13,4.92687e+06,1.64383e-07,20.41876
38,39,598,53.109 Gbps,53.109 Gbps,3.080642e+13,5.06526e+06,1.64389e-07,21.31775
39,40,613,53.109 Gbps,53.109 Gbps,3.158929e+13,5.19444e+06,1.64403e-07,18.45730
40,41,627,53.121 Gbps,53.109 Gbps,3.237532e+13,5.32291e+06,1.64382e-07,20.27702
41,42,643,53.109 Gbps,53.109 Gbps,3.319551e+13,5.45828e+06,1.64395e-07,20.85649
42,43,658,53.121 Gbps,53.121 Gbps,3.401440e+13,5.59372e+06,1.64421e-07,19.58310
43,44,674,53.109 Gbps,53.109 Gbps,3.483603e+13,5.73047e+06,1.64463e-07,19.43061
44,45,689,53.109 Gbps,53.121 Gbps,3.566383e+13,5.86679e+06,1.64469e-07,19.11983
45,46,705,53.109 Gbps,53.121 Gbps,3.649595e+13,6.00473e+06,1.64505e-07,19.71790
46,47,721,53.121 Gbps,53.109 Gbps,3.732269e+13,6.14143e+06,1.64518e-07,19.03658
47,48,736,53.109 Gbps,53.121 Gbps,3.814708e+13,6.27751e+06,1.64534e-07,19.01940
48,49,752,53.121 Gbps,53.121 Gbps,3.899702e+13,6.41653e+06,1.64514e-07,20.35838
49,50,768,53.121 Gbps,53.121 Gbps,3.982517e+13,6.55155e+06,1.64477e-07,18.33398
50,51,783,53.121 Gbps,53.109 Gbps,4.064582e+13,6.68750e+06,1.64500e-07,19.26527
51,52,799,53.109 Gbps,53.121 Gbps,4.148277e+13,6.82727e+06,1.64549e-07,19.19428
52,53,815,53.121 Gbps,53.109 Gbps,4.231928e+13,6.96519e+06,1.64556e-07,20.41176
53,54,831,53.109 Gbps,53.109 Gbps,4.316378e+13,7.10420e+06,1.64562e-07,20.45664
54,55,846,53.121 Gbps,53.121 Gbps,4.399446e+13,7.23971e+06,1.64534e-07,19.13886
55,56,862,53.121 Gbps,53.121 Gbps,4.483664e+13,7.37780e+06,1.64521e-07,19.79747
56,57,878,53.121 Gbps,53.109 Gbps,4.568649e+13,7.51630e+06,1.64494e-07,20.41507
57,58,895,53.109 Gbps,53.109 Gbps,4.659037e+13,7.66387e+06,1.64474e-07,19.12005
58,59,912,53.109 Gbps,53.121 Gbps,4.748756e+13,7.81120e+06,1.64461e-07,19.55390
59,60,929,53.109 Gbps,53.109 Gbps,4.840643e+13,7.96150e+06,1.64450e-07,19.45789
60,61,946,53.121 Gbps,53.121 Gbps,4.929628e+13,8.10846e+06,1.64457e-07,18.76624
61,62,964,53.109 Gbps,53.109 Gbps,5.024073e+13,8.26126e+06,1.64409e-07,19.55183
62,63,980,53.121 Gbps,53.121 Gbps,5.111095e+13,8.40460e+06,1.64415e-07,20.05103
63,64,997,53.121 Gbps,53.109 Gbps,5.202263e+13,8.55618e+06,1.64445e-07,18.87118
64,65,1014,53.121 Gbps,53.109 Gbps,5.290225e+13,8.69953e+06,1.64428e-07,18.81753
65,66,1030,53.109 Gbps,53.109 Gbps,5.377742e+13,8.84332e+06,1.64422e-07,19.14647
66,67,1047,53.109 Gbps,53.121 Gbps,5.467047e+13,8.98990e+06,1.64417e-07,19.58819
67,68,1064,53.121 Gbps,53.109 Gbps,5.555067e+13,9.13266e+06,1.64383e-07,18.30573
68,69,1080,53.109 Gbps,53.109 Gbps,5.642908e+13,9.27628e+06,1.64351e-07,20.24287
